"No.","Time","Source","Destination","Protocol","Length","Info","TX rate","Channel","Frequency","Signal"
"1297","718.572717","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=419/41729, ttl=128 (reply in 1298)","36.0","11","2462MHz","-36 dBm"
"1298","718.573610","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=419/41729, ttl=127 (request in 1297)","48.0","11","2462MHz","-61 dBm"
"1299","719.575567","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=420/41985, ttl=128 (reply in 1300)","48.0","11","2462MHz","-36 dBm"
"1300","719.577105","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=420/41985, ttl=127 (request in 1299)","2.0","11","2462MHz","-75 dBm"
"1301","720.577255","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=421/42241, ttl=128 (reply in 1302)","48.0","11","2462MHz","-36 dBm"
"1302","720.577694","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=421/42241, ttl=127 (request in 1301)","36.0","11","2462MHz","-73 dBm"
"1303","720.578093","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=421/42241, ttl=127","36.0","11","2462MHz","-73 dBm"
"1304","720.578141","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=421/42241, ttl=127","36.0","11","2462MHz","-60 dBm"
"1305","721.579720","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=422/42497, ttl=128 (reply in 1306)","48.0","11","2462MHz","-40 dBm"
"1306","721.580596","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=422/42497, ttl=127 (request in 1305)","36.0","11","2462MHz","-59 dBm"
"1307","722.581565","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=423/42753, ttl=128 (reply in 1308)","48.0","11","2462MHz","-36 dBm"
"1308","722.582485","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=423/42753, ttl=127 (request in 1307)","48.0","11","2462MHz","-61 dBm"
"1309","723.584581","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=424/43009, ttl=128 (reply in 1310)","48.0","11","2462MHz","-38 dBm"
"1310","723.585484","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=424/43009, ttl=127 (request in 1309)","48.0","11","2462MHz","-61 dBm"
"1311","724.587690","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=425/43265, ttl=128 (reply in 1312)","48.0","11","2462MHz","-35 dBm"
"1312","724.588518","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=425/43265, ttl=127 (request in 1311)","48.0","11","2462MHz","-61 dBm"
"1313","725.589474","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=426/43521, ttl=128 (reply in 1314)","48.0","11","2462MHz","-35 dBm"
"1314","725.590437","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=426/43521, ttl=127 (request in 1313)","48.0","11","2462MHz","-60 dBm"
"1315","726.592469","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=427/43777, ttl=128 (no response found!)","48.0","11","2462MHz","-36 dBm"
"1316","727.595464","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=428/44033, ttl=128 (no response found!)","48.0","11","2462MHz","-36 dBm"
"1317","728.597460","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=429/44289, ttl=128 (reply in 1318)","48.0","11","2462MHz","-35 dBm"
"1318","728.598338","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=429/44289, ttl=127 (request in 1317)","54.0","11","2462MHz","-61 dBm"
"1319","729.600447","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=430/44545, ttl=128 (reply in 1320)","48.0","11","2462MHz","-36 dBm"
"1320","729.601330","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=430/44545, ttl=127 (request in 1319)","54.0","11","2462MHz","-61 dBm"
"1321","730.601729","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=431/44801, ttl=128 (no response found!)","48.0","11","2462MHz","-36 dBm"
"1322","731.605346","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=432/45057, ttl=128 (reply in 1323)","48.0","11","2462MHz","-36 dBm"
"1323","731.606263","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=432/45057, ttl=127 (request in 1322)","54.0","11","2462MHz","-61 dBm"
"1324","732.608186","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=433/45313, ttl=128 (reply in 1325)","48.0","11","2462MHz","-36 dBm"
"1325","732.609093","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=433/45313, ttl=127 (request in 1324)","54.0","11","2462MHz","-61 dBm"
"1326","733.610293","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=434/45569, ttl=128 (reply in 1327)","36.0","11","2462MHz","-36 dBm"
"1327","733.611410","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=434/45569, ttl=127 (request in 1326)","54.0","11","2462MHz","-62 dBm"
"1328","733.611458","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=434/45569, ttl=127","54.0","11","2462MHz","-60 dBm"
"1329","734.610581","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=435/45825, ttl=128 (reply in 1330)","54.0","11","2462MHz","-36 dBm"
"1330","734.611457","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=435/45825, ttl=127 (request in 1329)","54.0","11","2462MHz","-61 dBm"
"1331","735.614360","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=436/46081, ttl=128 (reply in 1332)","54.0","11","2462MHz","-36 dBm"
"1332","735.615345","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127 (request in 1331)","54.0","11","2462MHz","-60 dBm"
"1333","735.615397","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127","54.0","11","2462MHz","-61 dBm"
"1334","735.615806","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127","54.0","11","2462MHz","-73 dBm"
"1335","735.616846","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127","48.0","11","2462MHz","-62 dBm"
"1336","735.616892","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127","48.0","11","2462MHz","-61 dBm"
"1337","735.617297","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127","48.0","11","2462MHz","-73 dBm"
"1338","735.617542","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127","36.0","11","2462MHz","-73 dBm"
"1339","735.617922","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=436/46081, ttl=127","36.0","11","2462MHz","-61 dBm"
"1340","736.624973","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=437/46337, ttl=128 (reply in 1341)","54.0","11","2462MHz","-37 dBm"
"1341","736.626008","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=437/46337, ttl=127 (request in 1340)","54.0","11","2462MHz","-62 dBm"
"1342","737.626954","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=438/46593, ttl=128 (reply in 1343)","54.0","11","2462MHz","-37 dBm"
"1343","737.627864","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=438/46593, ttl=127 (request in 1342)","54.0","11","2462MHz","-61 dBm"
"1344","738.629958","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=439/46849, ttl=128 (reply in 1345)","54.0","11","2462MHz","-36 dBm"
"1345","738.631427","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=439/46849, ttl=127 (request in 1344)","54.0","11","2462MHz","-62 dBm"
"1346","739.631079","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=440/47105, ttl=128 (reply in 1347)","54.0","11","2462MHz","-37 dBm"
